date,theme,ic
1999-11-29,Volatility,-0.018903
1999-11-29,Size,0.065000
1999-11-29,Liquidity & volume,-0.003469
1999-11-29,Market correlation,0.046321
1999-11-29,Short positioning,-0.049519
1999-12-06,Momentum & trend,0.012668
1999-12-06,Short-term reversal,0.030798
1999-12-06,Volatility,-0.149678
1999-12-06,Size,-0.119649
1999-12-06,Liquidity & volume,-0.012382
1999-12-06,Market correlation,-0.045481
1999-12-06,Short positioning,-0.038691
1999-12-13,Momentum & trend,0.012224
1999-12-13,Short-term reversal,0.090740
1999-12-13,Volatility,-0.021514
1999-12-13,Size,-0.049838
1999-12-13,Liquidity & volume,0.049056
1999-12-13,Market correlation,-0.069032
1999-12-13,Short positioning,0.035908
1999-12-20,Momentum & trend,-0.077971
1999-12-20,Short-term reversal,0.000529
1999-12-20,Volatility,-0.100814
1999-12-20,Size,-0.116489
1999-12-20,Liquidity & volume,0.018312
1999-12-20,Market correlation,-0.049363
1999-12-20,Short positioning,-0.007285
1999-12-28,Momentum & trend,0.010508
1999-12-28,Short-term reversal,0.037999
1999-12-28,Volatility,-0.130896
1999-12-28,Size,-0.106049
1999-12-28,Liquidity & volume,-0.032886
1999-12-28,Market correlation,-0.047109
1999-12-28,Short positioning,-0.014547
2000-01-04,Momentum & trend,0.088146
2000-01-04,Short-term reversal,0.026149
2000-01-04,Volatility,-0.062437
2000-01-04,Size,0.027306
2000-01-04,Liquidity & volume,0.012493
2000-01-04,Market correlation,0.039022
2000-01-04,Short positioning,-0.012796
2000-01-11,Momentum & trend,0.124560
2000-01-11,Short-term reversal,-0.022629
2000-01-11,Volatility,-0.143981
2000-01-11,Size,0.010934
2000-01-11,Liquidity & volume,-0.071143
2000-01-11,Market correlation,0.066674
2000-01-11,Short positioning,-0.024815
2000-01-19,Momentum & trend,0.086811
2000-01-19,Short-term reversal,-0.069712
2000-01-19,Volatility,-0.181741
2000-01-19,Size,-0.001145
2000-01-19,Liquidity & volume,-0.062905
2000-01-19,Market correlation,0.013059
2000-01-19,Short positioning,-0.043245
2000-01-26,Momentum & trend,0.078858
2000-01-26,Short-term reversal,-0.118828
2000-01-26,Volatility,-0.248156
2000-01-26,Size,-0.065346
2000-01-26,Liquidity & volume,-0.150043
2000-01-26,Market correlation,-0.007515
2000-01-26,Short positioning,-0.038909
2000-02-02,Momentum & trend,0.106039
2000-02-02,Short-term reversal,-0.111541
2000-02-02,Volatility,-0.240093
2000-02-02,Size,-0.045614
2000-02-02,Liquidity & volume,-0.129808
2000-02-02,Market correlation,-0.012514
2000-02-02,Short positioning,-0.037654
2000-02-09,Momentum & trend,0.112880
